,abv,style_id,style_categoryId,style_category_id,style_category_name,style_category_createDate,style_name,style_shortName,style_description,style_ibuMin,style_ibuMax,style_abvMin,style_abvMax,style_srmMin,style_srmMax,style_ogMin,style_fgMin,style_fgMax,style_createDate,style_updateDate,isOrganic,styleId,id,name,nameDisplay,brewery_id,brewery_name,brewery_nameShortDisplay,brewery_status,brewery_statusDisplay,brewery_createDate,brewery_updateDate,brewery_isInBusiness,brewery_isVerified,ibu,originalGravity,description,style_ogMax,style_category_description,style_category_updateDate
0,5.5,98.0,8.0,8.0,North American Lager,2012-03-21 20:06:46,American-Style Pilsener,American Pilsener,"This classic and unique pre-Prohibition American-style Pilsener is straw to deep gold in color. Hop bitterness, flavor and aroma are medium to high, and use of noble-type hops for flavor and aroma is preferred. Up to 25 percent corn and/or rice in the grist should be used. Malt flavor and aroma are medium. This is a light-medium to medium-bodied beer. Sweet corn-like dimethylsulfide (DMS), fruity esters and American hop-derived citrus flavors or aromas should not be perceived. Diacetyl is not acceptable. There should be no chill haze. Competition organizers may wish to subcategorize this style into rice and corn subcategories.",25,40,5,6,3,6,1.045,1.012,1.018,2012-03-21 20:06:46,2015-04-07 15:40:08,N,98.0,c4f2KE,'Murican Pilsner,'Murican Pilsner,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,verified,Verified,2012-01-03 02:42:08,2018-11-02 02:15:01,Y,N,,,,,,
1,4.5,164.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,Session India Pale Ale,Session IPA,"Session India Pale Ales are gold to copper. Chill haze is allowable at cold temperatures and hop haze is allowable at any temperature. Fruity-ester aroma is light to moderate. Hop aroma is medium to high with qualities from a wide variety of hops from all over the world. Low to medium maltiness is present. Hop flavor is strong, characterized by flavors from a wide variety of hops. Hop bitterness is medium to high. Fruity-ester flavors are low to moderate. Diacetyl is absent or at very low levels. Body is low to medium.",,,,,,,,,,2015-04-07 17:07:27,,N,164.0,zTTWa2,11.5° PLATO,11.5° PLATO,nHLlnK,Sierra Nevada Brewing Company,Sierra Nevada,verified,Verified,2012-01-03 02:42:08,2018-11-02 02:15:01,Y,N,35,1.046,"The Plato scale is a measurement of the density of liquid. The number tells brewers how big or small a resulting beer will be—the larger the number the bigger the beer. We designed 11.5° Plato—a lower number on the beer scale—to give us just enough body to support a heavy heap of hops. The result is an easy-drinking session IPA which satisfies the thirst for hops, but urges you to have another round.",,,
2,5.5,25.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Pale Ale,American Pale,"American pale ales range from deep golden to copper in color. The style is characterized by fruity, floral and citrus-like American-variety hop character producing medium to medium-high hop bitterness, flavor, and aroma. Note that the ""traditional"" style of this beer has its origins with certain floral, fruity, citrus-like, piney, resinous, or sulfur-like American hop varietals. One or more of these hop characters is the perceived end, but the perceived hop characters may be a result of the skillful use of hops of other national origins. American pale ales have medium body and low to medium maltiness. Low caramel character is allowable. Fruity-ester flavor and aroma should be moderate to strong. Diacetyl should be absent or present at very low levels. Chill haze is allowable at cold temperatures.",30,42,4.5,5.6,6,14,1.044,1.008,1.014,2012-03-21 20:06:45,2015-04-07 15:25:18,N,25.0,zfP2fK,12th Of Never,12th Of Never,nLsoQ9,Lagunitas Brewing Company,Lagunitas,verified,Verified,2012-01-03 02:42:00,2018-11-02 02:15:01,Y,N,45,1.05,"Tropically Hoppy. Light, yet Full-Bodied. Bright and Citrusy. Word.
The magical, mystical 12th of Never is a blend of Old and New School hops that play bright citrus, rich coconut, and papaya-esque flavors, all on a solid stage of English puffed wheat. Tropically hoppy. Light, yet full-bodied. Bright and citrusy. The 12th of Never Ale is everything we’ve learned about making hop-forward beer expressed in a moderate voice.  Pale, cold, slightly alcoholic and bitter.  It’s all we know.

These 12oz mini-kegs (AKA cans) are an exciting new option for us, and we are stoopid stoked at the opportunity for y'all to take us to all those new, nelophobic locations…",,,
3,,5.0,1.0,1.0,British Origin Ales,2012-03-21 20:06:45,Extra Special Bitter,ESB,"Extra special bitter possesses medium to strong hop aroma, flavor, and bitterness. The residual malt and defining sweetness of this richly flavored, full-bodied bitter is more pronounced than in other styles of bitter. It is light amber to copper colored with medium to medium-high bitterness. Mild carbonation traditionally characterizes draft-cask versions, but in bottled versions, a slight increase in carbon dioxide content is acceptable. Fruity-ester character is acceptable in aroma and flavor. Diacetyl (butterscotch character) is acceptable and characteristic when at very low levels. The absence of diacetyl is also acceptable. Chill haze is allowable at cold temperatures. English or American hops may be used. (English and American hop character may be specified in subcategories.)",30,45,4.8,5.8,8,14,1.046,1.01,1.016,2012-03-21 20:06:45,2015-04-07 15:19:20,N,5.0,xwYSL2,15th Anniversary Ale,15th Anniversary Ale,TMc6H2,SweetWater Brewing Company,Sweetwater,verified,Verified,2012-01-03 02:42:09,2018-11-02 02:15:01,Y,N,,,"For the ﬁrst ever SweetWater anniversary beer (yeah it took us 15 years), we went back to our roots, dusted off our original ESB recipe, and gave it a big ol’ bump. The recipe consists of 7 malts, one of which Kevin toasted personally in his toaster oven, just like the old days, and 5 different styles of hops. In true SweetWater style, there is no style, but it’s big, bold, and meant to grow old, meaning this beer will be fantastic out of the gate, or you can lay her down in the cellar for many years to come.",,,
4,11,35.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Wheat Wine Ale,Wheatwine,"American style wheat wines range from gold to deep amber and are brewed with 50% or more wheat malt. They have full body and high residual malty sweetness. Perception of bitterness is moderate to medium -high. Fruity-ester characters are often high and counterbalanced by complexity of alcohols and high alcohol content. Hop aroma and flavor are at low to medium levels. Very low levels of diacetyl may be acceptable. Bready, wheat, honey-like and/or caramel aroma and flavor are often part of the character. Phenolic yeast character, sulfur, and/or sweet corn-like dimethylsulfide (DMS) should not be present. Oxidized, stale and aged characters are not typical of this style. Chill haze is allowable.",45,85,8.4,12,8,15,1.088,1.024,1.032,2012-03-21 20:06:46,2015-04-07 15:27:17,N,35.0,UJGpVS,16 So Fine Red Wheat Wine,16 So Fine Red Wheat Wine,TMc6H2,SweetWater Brewing Company,Sweetwater,verified,Verified,2012-01-03 02:42:09,2018-11-02 02:15:01,Y,N,,,"For our super heady 16 year anniversary beer we stepped on the gas and headed down the road less traveled! Our b-day present to ourselves was a racy Red Wheat Wine. The brew rips down the road at 11% ABV fueld by a 45% wheat bomb with an after burner hop shot of Amarillo, Willamette, Nelson Sauvignon, and US Goldings that pushes this baby to the limit of sensory overload. Get in. Sit down. Hold on. Shut up.",,,
5,4.5,42.0,3.0,3.0,North American Origin Ales,2012-03-21 20:06:45,American-Style Stout,American Stout,"Initial low to medium malt sweetness with a degree of caramel, chocolate and/or roasted coffee flavor with a distinctive dryroasted bitterness in the finish. Coffee-like roasted barley and roasted malt aromas are prominent. Some slight roasted malt acidity is permissible and a medium- to full-bodied mouthfeel is appropriate. Hop bitterness may be moderate to high. Hop aroma and flavor is moderate to high, often with American citrus-type and/or resiny hop character. The perception of fruity esters is low. Roasted malt/barley astringency may be low but not excessive. Diacetyl (butterscotch) should be negligible or not perceived. Head retention is excellent.",35,60,5.7,8.8,40,40,1.05,1.01,1.022,2012-03-21 20:06:46,2015-04-07 15:28:43,N,42.0,vz5JZ1,1794 The Fergal Project,1794 The Fergal Project,DifSi4,Wachusett Brewing Company,Wachusett,verified,Verified,2012-01-03 02:42:12,2018-11-02 02:15:01,Y,N,,,,,,
6,9,72.0,5.0,5.0,Belgian And French Origin Ales,2012-03-21 20:06:46,French & Belgian-Style Saison,Saison,"Beers in this category are golden to deep amber in color. There may be quite a variety of characters within this style. Generally: They are light to medium in body. Malt aroma is low to medium-low. Esters are medium to high in  aroma, while, complex alcohols, herbs, spices, low Brettanomyces character and even clove and smoke-like phenolics may or may not be evident in the overall balanced beer. Hop aroma and flavor may be at low to medium levels. Malt flavor is low but provides foundation for the overall balance. Hop bitterness is moderate to moderately assertive. Herb and/or spice flavors, including black pepper-like notes, may or may not be evident. Fruitiness from fermentation is generally in character. A balanced small amount of sour or acidic flavors is acceptable when in balance with other components. Earthy, cellar-like, musty aromas are okay. Diacetyl should not be perceived. Chill or slight yeast haze is okay. Often bottle conditioned with some yeast character and high carbonation. French & Belgian-Style Saison may have Brettanomyces characters that are slightly acidity, fruity, horsey, goaty and/or leather-like.",20,40,4.5,8.5,4,14,1.055,1.004,1.016,2012-03-21 20:06:46,2015-04-07 15:34:55,N,72.0,LcpeBb,17th Saison,17th Saison,TMc6H2,SweetWater Brewing Company,Sweetwater,verified,Verified,2012-01-03 02:42:09,2018-11-02 02:15:01,Y,N,,,"This year’s anni ale has everything in it but the pitch fork and a bale of hay. With over two months of fermentation and cellaring time, this saison plows the field as it harvests spicy farmhouse overtones from its primary Fraunch saison yeast. That funky monkey delivers a strapping alc 9 % by vol, seeding a perfect foundation for secondary Brettanomyces fermentation, which hoes a cornucopia of tart and effervescent flavors. Distinct citrus notes from the finishing hops cultivate a naturally freaky fresh palate tweaker. Here’s to the next 17 trips around that burning ball in the sky!",,,
7,10,59.0,5.0,5.0,Belgian And French Origin Ales,2012-03-21 20:06:46,Belgian-Style Tripel,Belgian Tripel,"Tripels are often characterized by a complex, sometimes mild spicy character. Clove-like phenolic flavor and aroma may be evident at extremely low levels. Yeast-generated  fruity esters, including banana, are also common, but not necessary. These pale/light-colored ales may finish sweet, though any sweet finish should be light. The beer is characteristically medium and clean in body with an equalizing hop/malt balance and a perception of medium to medium high hop bitterness. Traditional Belgian Tripels are often well attenuated. Brewing sugar may be used to lighten the perception of body. Its sweetness will come from very pale malts. There should not be character from any roasted or dark malts. Low hop flavor is acceptable. Alcohol strength and flavor should be perceived as evident. Head retention is dense and mousse-like. Chill haze is acceptable at low serving temperatures. Traditional Tripels are bottle conditioned, may exhibit slight yeast haze but the yeast should not be intentionally roused. Oxidative character if evident in aged Tripels should be mild and pleasant.",20,45,7,10,4,9,1.07,1.01,1.018,2012-03-21 20:06:46,2015-04-07 15:31:50,N,59.0,Yd8G8r,18th Anniversary Belgian Tripel,18th Anniversary Belgian Tripel,TMc6H2,SweetWater Brewing Company,Sweetwater,verified,Verified,2012-01-03 02:42:09,2018-11-02 02:15:01,Y,N,17,,This brilliant Belgian Tripel showcases the best of our brewers as we bring to life 18 years of passion for beer and strive to crate the most interesting beers possible. This tripel leads with complex citrus aromas that are complimented by a strong undertow of spicy hop character. Ardennes yeast brings forward fruity esters as the Belgian candy sugar added in fermentation softens the body while leading to a vigorous ABV in the finished beer.,,,
8,7,135.0,11.0,11.0,Hybrid/mixed Beer,2012-03-21 20:06:46,Wood- and Barrel-Aged Strong Beer,BBL Aged Strong,"Any strong classic style or unique, experimental style of beer can be wood or barrel-aged for a period of time in a wooden barrel or in contact with wood. This beer is aged with the intention of imparting the particularly unique character of the wood and/or what has previously been in the barrel. New wood character can be characterized as a complex blend of vanillin and unique wood character but wood aged is not necessarily synonymous with imparting wood-flavors. Used sherry, rum, bourbon, scotch, port, wine and other barrels are often used, imparting complexity and uniqueness to beer. Ultimately a balance of flavor, aroma and mouthfeel are sought with the marriage of new beer with wood and/or barrel flavors. Primary character of the beer style may or may not be apparent. Sour wood-aged beer of any color is outlined in other categories. Beers in this style may or may not have Brettanomyces character. The brewer must explain the special nature of the beer to allow for accurate judging. Comments could include: type of wood used (new or old, oak or other wood type), type of barrel used (new, port/ whiskey/ wine/ sherry/ other), base beer style or achieved character. Beer entries not accompanied by this information will be at a disadvantage during judging.",,,,,,,,,,2012-03-21 20:06:46,2015-04-07 15:46:50,N,135.0,iJ329Y,19 - Golden Belgian Style Ale,19 - Golden Belgian Style Ale,TMc6H2,SweetWater Brewing Company,Sweetwater,verified,Verified,2012-01-03 02:42:09,2018-11-02 02:15:01,Y,N,,,"This Golden Belgian Style Ale matured for over a year on brett in Cabernet and Merlot barrels, then was blended with a bright, citrusy hop-forward Belgian style IPA. Four plus two equals seven here, as the finished product is bigger than the sum of its parts. The art of this crafted cuvee is in the hop profile with a Belgian style nose up front, followed by woody undertones and a complex finish. After 19 years we’re still all about brewing great beer, supporting the communities who drink it and having a kick ass time along the way.",,,
9,5,93.0,8.0,8.0,North American Lager,2012-03-21 20:06:46,American-Style Lager,American Lager,"Light in body and very light to straw in color, American lagers are very clean and crisp and aggressively carbonated. Flavor components should b e subtle and complex, with no one ingredient dominating the others. Malt sweetness is light to mild. Corn, rice, or other grain or sugar adjuncts are often used. Hop bitterness, flavor and aroma are negligible to very light. Light fruity esters are acceptable. Chill haze and diacetyl should be absent.",5,13,3.8,5,2,4,1.04,1.006,1.01,2012-03-21 20:06:46,2015-04-07 15:39:26,N,93.0,O78ldO,1904 American Red Lager,1904 American Red Lager,BznahA,Anheuser-Busch InBev,Anheuser-Busch InBev,verified,Verified,2012-01-03 02:41:44,2018-11-02 02:15:01,Y,N,,,1904 American Red Lager is a special beer that goes by many names depending on which restaurant you visit!,,,
